Date,Open,High,Low,Close,Adj Close,Volume
2020-03-06,30.590000,30.889999,27.240000,27.600000,26.400002,4445400
2020-03-09,20.010000,23.030001,18.309999,18.510000,17.705217,5973200
2020-03-10,20.030001,21.530001,17.930000,20.940001,20.029566,5270300
2020-03-11,20.490000,21.139999,19.379999,20.010000,19.140001,4357100
2020-03-12,18.219999,18.600000,15.850000,15.960000,15.266088,4031200
2020-03-13,17.059999,17.790001,15.500000,17.510000,16.748695,5563200
2020-03-16,15.070000,17.820000,14.130000,14.560000,13.926957,5109200
2020-03-17,14.570000,17.500000,14.060000,16.010000,15.313913,3900200
2020-03-18,14.860000,15.060000,13.080000,13.390000,12.807827,3525600
2020-03-19,13.320000,14.060000,12.400000,12.800000,12.243479,3204600
2020-03-20,13.450000,14.320000,12.400000,13.160000,12.587826,7806100
2020-03-23,13.310000,14.970000,12.880000,14.130000,13.515653,4900800
2020-03-24,15.430000,18.600000,15.060000,18.090000,17.303478,3072300
2020-03-25,18.549999,19.219999,16.280001,17.000000,16.260870,2750300
2020-03-26,17.250000,19.200001,17.160000,18.950001,18.126087,2464100
2020-03-27,17.629999,19.160000,16.660000,16.840000,16.107826,3633400
2020-03-30,16.040001,16.590000,15.180000,15.500000,14.826087,2399600
2020-03-31,16.030001,16.799999,15.140000,15.650000,14.969565,3256100
2020-04-01,15.050000,15.160000,13.440000,14.240000,13.620870,3275800
2020-04-02,14.890000,17.870001,14.820000,16.350000,15.639131,3617300
2020-04-03,17.219999,17.290001,14.610000,15.460000,14.787827,2652300
2020-04-06,16.389999,16.950001,15.670000,16.620001,15.897392,2042500
2020-04-07,18.010000,18.240000,16.709999,17.379999,16.624348,2891300
2020-04-08,17.900000,18.990000,17.559999,18.770000,17.953913,1874600
2020-04-09,20.100000,21.330000,17.950001,19.180000,18.346087,3234800
2020-04-13,19.780001,20.049999,18.219999,18.650000,17.839130,2763700
2020-04-14,18.450001,18.920000,17.940001,18.340000,17.542608,2782700
2020-04-15,16.790001,17.020000,15.750000,16.320000,15.610435,3145900
2020-04-16,16.160000,16.440001,15.500000,16.070000,15.371305,2669500
2020-04-17,16.440001,17.799999,16.360001,17.740000,16.968695,2888500
2020-04-20,16.020000,17.920000,15.720000,17.639999,16.873043,2830800
2020-04-21,16.920000,18.580000,16.660000,18.500000,17.695652,3226600
2020-04-22,19.580000,19.990000,17.959999,18.430000,17.628696,3018200
2020-04-23,19.200001,19.690001,18.730000,19.340000,18.499130,3216600
2020-04-24,19.330000,19.549999,17.230000,17.770000,16.997393,5792300
2020-04-27,17.150000,17.850000,16.570000,17.719999,16.949564,3161300
2020-04-28,18.770000,19.100000,17.809999,18.980000,18.154783,2981600
2020-04-29,20.090000,21.280001,19.500000,21.219999,20.297390,5420100
2020-04-30,21.540001,21.600000,19.420000,19.770000,18.910435,17542600
2020-05-01,18.000000,19.660000,16.660000,16.809999,16.079130,6091300
2020-05-04,16.490000,18.129999,16.209999,18.049999,17.265217,2783700
2020-05-05,19.360001,19.480000,16.980000,17.000000,16.260870,3021300
2020-05-06,17.040001,17.379999,15.940000,15.960000,15.266088,3096600
2020-05-07,16.490000,17.129999,16.010000,16.330000,15.620000,3246100
2020-05-08,16.139999,17.760000,16.070000,17.730000,17.730000,3019900
2020-05-11,17.309999,18.660000,17.230000,18.180000,18.180000,3316700
2020-05-12,18.330000,18.820000,17.930000,18.420000,18.420000,2921300
2020-05-13,18.120001,18.219999,17.170000,17.629999,17.629999,2243200
